NUMBER	NAME	ELEV	LAT	LON
283001	Abu	641	34.5	131.6
355096	Acamarachi	6023	-23.292	-67.618
342080	Acatenango	3976	14.501	-90.876
213004	Acigol-Nevsehir	1683	38.537	34.621
321040	Adams	3742	46.206	-121.49
283170	Adatarayama	1728	37.647	140.281
221170	Adwa	1733	10.07	40.84
221110	Afdera	1250	13.088	40.853
284160	Agrigan	965	18.77	145.67
342100	Agua	3760	14.465	-90.743
382090	Agua de Pau	947	37.77	-25.47
358062	Aguilera	2546	-50.33	-73.75
264020	Agung	2997	-8.343	115.508
284141	Ahyi	-75	20.42	145.03
282080	Aira	1117	31.593	130.657
300125	Akademia Nauk	1180	53.98	159.45
283130	Akagisan	1828	36.56	139.193
285070	Akan	1499	43.384	144.013
283230	Akita-Komagatake	1637	39.761	140.799
283260	Akita-Yakeyama	1366	39.964	140.757
282022	Akusekijima	555	29.465	129.594
311320	Akutan	1303	54.134	-165.986
290390	Alaid	2285	50.861	155.565
221112	Alayta	1496	12.888	40.573
353040	Alcedo	1130	-0.43	-91.12
221090	Ale Bagu	988	13.512	40.631
221040	Alid	904	14.88	39.92
352031	Aliso	4267	-0.53	-78
320020	Alligator Lake	2217	60.42	-135.42
342040	Almolonga	3173	14.797	-91.519
300450	Alney-Chashakondzha	2570	56.656	159.647
221060	Alu-Dalafilla	578	13.793	40.553
221270	Alutu	2335	7.77	38.78
311390	Amak	488	55.424	-163.149
268072	Amasing	1030	-0.53	127.48
257030	Ambae	1496	-15.389	167.835
273088	Ambalatungan Group	2329	17.32	121.1
266020	Ambang	1795	0.75	124.42
254020	Ambitle	450	-4.08	153.65
233011	Ambre-Bobaomby	1475	-12.6	49.15
257040	Ambrym	1334	-16.25	168.12
234001	Amsterdam Island	881	-37.83	77.52
311190	Amukta	1066	52.5	-171.252
284200	Anatahan	790	16.35	145.67
300390	Anaun	1828	56.32	158.83
354004	Andahua-Orcopampa	4713	-15.42	-72.33
390023	Andrus	2978	-75.8	-132.33
257110	Aneityum	852	-20.2	169.78
312090	Aniakchak	1341	56.88	-158.17
357153	Antillanca Volcanic Complex	1979	-40.783	-72.15
352030	Antisana	5753	-0.481	-78.141
355180	Antofagasta Volcanic Field	3495	-26.12	-67.4
357080	Antuco	2979	-37.406	-71.349
284060	Aogashima	423	32.458	139.759
358024	Apagado	1210	-41.88	-72.58
343010	Apaneca Range	2036	13.891	-89.786
343071	Apastepeque Field	700	13.72	-88.77
271030	Apo	2938	6.989	125.269
344091	Apoyeque	518	12.242	-86.342
355160	Aracar	6095	-24.29	-67.783
214060	Aragats	4095	40.53	44.2
213040	Ararat	5165	39.7	44.3
273084	Arayat	1026	15.2	120.742
221126	Ardoukoba	298	11.58	42.47
345033	Arenal	1670	10.463	-84.703
231090	"Arhab, Harra of"	3100	15.63	44.08
263290	Arjuno-Welirang	3339	-7.733	112.575
305011	Arxan-Chaihe	1677	47.45	120.8
300058	Asacha	1910	52.355	157.827
283110	Asamayama	2568	36.406	138.523
385050	Ascension	858	-7.95	-14.37
373060	Askja	1080	65.033	-16.783
282110	Asosan	1592	32.884	131.104
221125	Assab Volcanic Field	987	12.95	42.43
284150	Asuncion	857	19.671	145.406
282070	Ata	924	31.22	130.57
352021	Atacazo	4463	-0.353	-78.617
311160	Atka	1448	52.331	-174.139
320030	Atlin Volcanic Field	1880	59.68	-133.32
357023	"Atuel, Caldera del"	5189	-34.65	-70.05
241020	Auckland Volcanic Field	260	-36.9	174.87
313010	Augustine	1252	59.363	-153.43
300100	Avachinsky	2717	53.256	158.836
331021	Axial Seamount	-1410	45.95	-130
302070	Azas Plateau	2765	52.433	98.303
355061	"Azufre, Cerro del"	5846	-21.787	-68.237
353060	"Azul, Cerro"	1640	-0.92	-91.408
357060	"Azul, Cerro"	3788	-35.653	-70.761
283180	Azumayama	1949	37.735	140.244
274030	Babuyan Claro	1080	19.523	121.94
322090	Bachelor	2763	43.979	-121.688
255020	Bagana	1855	-6.137	155.196
300123	Bakening	2278	53.905	158.07
321010	Baker	3285	48.777	-121.813
231170	"Bal Haf, Harra of"	604	14.067	48.3
250020	Baluan	254	-2.57	147.28
271010	Balut	862	5.4	125.375
273050	Banahaw	2158	14.07	121.48
265090	Banda Api	596	-4.523	129.881
283160	Bandaisan	1816	37.601	140.072
341020	Barcena	332	19.3	-110.82
373030	Bardarbunga	2000	64.633	-17.516
300084	Barkhatnaya Sopka	874	52.802	158.24
222030	"Barrier, The"	1032	2.32	36.57
345050	Barva	2906	10.135	-84.1
275050	Bas Dong Nai	392	10.8	107.2
264010	Batur	1717	-8.242	115.375
355122	"Bayo Gorbea, Cerro"	5413	-25.414	-68.588
225060	Bayuda Volcanic Field	670	18.33	32.75
322060	Belknap	2095	44.285	-121.841
300640	Bely	2080	57.88	160.53
390022	Berlin	3478	-76.05	-136
290040	Berutarubesan [Berutarube]	1221	44.462	146.932
300250	Bezymianny	2882	55.972	160.595
268073	Bibinoi	932	-0.761	127.725
272080	Biliran	1301	11.523	124.535
255011	Billy Mitchell	1544	-6.092	155.225
231072	"Birk, Harrat al"	587	18.37	41.63
221220	Bishoftu Volcanic Field	1850	8.78	38.98
324010	Black Butte Crater Lava Field	1478	43.183	-114.352
327050	Black Rock Desert	1800	38.97	-112.5
357102	"Blanca, Laguna"	1700	-39.02	-70.37
355210	"Blanco, Cerro"	4670	-26.789	-67.765
311300	Bogoslof	150	53.93	-168.03
300087	Bolshe-Bannaya	1200	52.9	157.78
300300	Bolshoi Payalpan	1906	55.88	157.78
300150	Bolshoi Semiachik	1720	54.32	160.02
300360	Bolshoi-Kekuknaysky	1401	56.483	157.917
221240	Bora-Bericcio	2267	8.221	39.05
221107	Borawli	784	13.304	40.987
